Ente;Misura;Tipo;Annualit… precedenti;2007;2008;2009;2010;2011;2012;2013
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;PROGRAMMATO;0;560006;539132;539132;539132;523028;0;0
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;LIQUIDATO PER COMPETENZA;0;179575,17;161355,37;148751,48;139468,02;0;101629,74;0
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;LIQUIDATO PER ANNO SOLARE;0;0;179575,17;161355,37;122371,05;165848,45;101629,74;0
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;AUTORIZZATO PER COMPETENZA;0;179575,17;161355,37;148751,48;132322,75;0;92877,41;0
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;AUTORIZZATO PER ANNO SOLARE;0;0;170964,69;145433,37;116936,03;188670,68;92877,41;0
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;PAGATO PER COMPETENZA;159017,11;0;161355,42;148751,53;132322,78;0;92877,46;0
Provincia di GROSSETO;(PSR4) PSR - Misura 4 (d) - Prepensionamento;PAGATO PER ANNO SOLARE;0;175988,43;-1971,32;136822,94;116936,08;173670,71;92877,46;0
Provincia di GROSSETO;(PSR2079) Reg.(CE)2079/92 Prepensionamento;PROGRAMMATO;0;26308;3267;0;0;0;0;0
Provincia di GROSSETO;(PSR2079) Reg.(CE)2079/92 Prepensionamento;PAGATO PER COMPETENZA;3992,93;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR2079) Reg.(CE)2079/92 Prepensionamento;PAGATO PER ANNO SOLARE;0;3992,93;0;0;0;0;0;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;RICHIESTO;0;0;356990;484720;529670;526110;0;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;ASSEGNATO PER COMPETENZA;0;0;332460;469300;0;497550;493910;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;ASSEGNATO PER ANNO SOLARE;0;0;0;332460;469300;497550;493910;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;DOMANDE PAGAMENTO SALDO;0;0;285650;403210;0;18000;0;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;DOMANDE REVOCATE;0;0;0;12640;0;0;0;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;LIQUIDATO PER COMPETENZA;0;0;285650;403210;293900;140450;157130;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;LIQUIDATO PER ANNO SOLARE;0;0;0;240980;44670;697110;297580;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;AUTORIZZATO PER COMPETENZA;0;0;285650;399460;293900;0;296080;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;AUTORIZZATO PER ANNO SOLARE;0;0;0;240980;42530;695500;296080;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;PAGATO PER COMPETENZA;0;0;285650;399460;293900;0;137450;0
Provincia di GROSSETO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;PAGATO PER ANNO SOLARE;0;0;0;225340;58170;691110;141840;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;PROGRAMMATO;0;1932811;6787098;4846565;3738761;1500000;0;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;RICHIESTO;0;0;21239411,09;21775729,84;20850075,03;51100767,78;26806845,73;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER COMPETENZA;0;0;2016945,98;3074367,09;1276806,7;34169,6;493841,7;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER ANNO SOLARE;0;0;895152,19;1736600,48;2719204,53;242151,95;1303021,92;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO ANTICIPO;0;0;158719,82;867631,57;156317,12;24226,1;84287,1;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO SALDO;0;0;1469516,16;1849348,34;9434,7;260934,64;265623,87;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;IN ISTRUTTORIA;0;0;0;0;145013,42;285160,74;114747,83;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER COMPETENZA;0;0;1628235,98;2716979,91;20738,4;0;659637,3;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER ANNO SOLARE;0;0;0;487341,67;2036248,1;1842364,52;659637,3;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER COMPETENZA;0;0;1628235,98;2716979,91;20738,4;0;640531,4;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER ANNO SOLARE;0;0;0;487341,67;1965833,6;1912779,02;640531,4;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;PAGATO PER COMPETENZA;0;0;1542753,56;2690514,01;20738,41;0;474693,74;0
Provincia di GROSSETO;(PSR121) Ammodernamento delle aziende;PAGATO PER ANNO SOLARE;0;0;0;302533,8;2039621,1;1911851,08;474693,74;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PROGRAMMATO;0;36000;968208;689438;404000;114000;0;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;RICHIESTO;0;0;1313956,979;1598955,06;2394571,38;5217485,05;4209248,65;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER COMPETENZA;0;0;378263,84;528362,98;68443,99;218649,14;50169,93;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;209922,71;424493,96;310756,39;248546,89;50169,93;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO ANTICIPO;0;0;0;243470,37;76317,37;0;0;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO SALDO;0;0;10982,48;569394,34;2528,3;610,85;95533,54;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;IN ISTRUTTORIA;0;0;0;0;0;610,85;0;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER COMPETENZA;0;0;10982,48;812864,71;78845,67;0;96144,39;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER ANNO SOLARE;0;0;0;191366,24;533076,5;178250,12;96144,39;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER COMPETENZA;0;0;10982,48;812864,71;78845,67;0;91026,39;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER ANNO SOLARE;0;0;0;171862,75;552579,99;178250,12;91026,39;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER COMPETENZA;0;0;10982,48;812864,69;78845,66;0;91026,39;0
Provincia di GROSSETO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER ANNO SOLARE;0;0;0;171862,75;552579,97;178250,11;91026,39;0
Provincia di GROSSETO;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;RICHIESTO;0;0;0;0;39390;39390;0;0
Provincia di GROSSETO;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;PROGRAMMATO;0;25675;15675;5675;0;0;0;0
Provincia di GROSSETO;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;PAGATO PER COMPETENZA;216755,17;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;PAGATO PER ANNO SOLARE;0;216755,17;0;0;0;0;0;0
Provincia di GROSSETO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;PROGRAMMATO;0;0;0;0;20224;0;0;0
Provincia di GROSSETO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;PAGATO PER COMPETENZA;0;0;657479,36;1508330,5;0;0;2168701,58;0
Provincia di GROSSETO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;PAGATO PER ANNO SOLARE;0;0;0;0;1024196,43;1141613,43;2168701,58;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;PROGRAMMATO;0;0;0;500000;275000;300000;0;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;RICHIESTO;0;0;0;828815,67;3810750,05;5260067,46;3121110,3;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;ASSEGNATO PER COMPETENZA;0;0;0;377483,99;102286,57;0;0;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;ASSEGNATO PER ANNO SOLARE;0;0;0;0;479770,56;0;0;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;LIQUIDATO PER COMPETENZA;0;0;0;300479,15;0;0;92906,63;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;LIQUIDATO PER ANNO SOLARE;0;0;0;0;300479,15;0;92906,63;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;AUTORIZZATO PER COMPETENZA;0;0;0;300479,15;0;0;92906,63;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;292775,2;100610,58;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;PAGATO PER COMPETENZA;0;0;0;300479,16;0;0;92906,64;0
Provincia di GROSSETO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;PAGATO PER ANNO SOLARE;0;0;0;0;0;292775,21;100610,59;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;PROGRAMMATO;0;0;0;500000;275000;300000;0;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;RICHIESTO;0;0;0;3312215,91;641542,54;1135569,39;274761,56;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;ASSEGNATO PER COMPETENZA;0;0;0;295890,07;0;200829,41;0;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;ASSEGNATO PER ANNO SOLARE;0;0;0;0;285635,19;211084,29;0;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;140555,82;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;140555,82;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;140555,82;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;140555,82;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;PAGATO PER COMPETENZA;0;0;0;0;0;0;140555,82;0
Provincia di GROSSETO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;140555,82;0
Provincia di GROSSETO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;PROGRAMMATO;0;0;0;7158;24229;23994;0;0
Provincia di GROSSETO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;ASSEGNATO PER COMPETENZA;0;0;0;0;0;0;999,6;0
Provincia di GROSSETO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;0;999,6;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;PROGRAMMATO;0;0;0;0;50000;50000;0;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;RICHIESTO;0;0;0;0;399220,81;0;0;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;ASSEGNATO PER COMPETENZA;0;0;0;0;50000;0;40000;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;50000;40000;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;IN ISTRUTTORIA;0;0;0;0;50000;0;40000;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;44750,08;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;44750,08;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;44750,08;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;44750,08;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;PAGATO PER COMPETENZA;0;0;0;0;0;0;44750,07;0
Provincia di GROSSETO;(PSR211) Indennit… per le zone montane;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;44750,07;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;PROGRAMMATO;0;0;0;0;150000;150000;0;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;RICHIESTO;0;0;0;0;1465436,49;0;0;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;ASSEGNATO PER COMPETENZA;0;0;0;0;146464;0;100000;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;146464;100000;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;DOMANDE REVOCATE;0;0;0;3202;0;0;0;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;IN ISTRUTTORIA;0;0;0;0;146464;0;100000;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;110697,68;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;110697,68;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;110697,68;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;110697,68;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;PAGATO PER COMPETENZA;0;0;0;0;0;0;110697,71;0
Provincia di GROSSETO;(PSR212) Indennit… per svantaggi naturali;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;110697,71;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;PROGRAMMATO;0;290662;1026888;2478244;3894696;3758303;0;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;RICHIESTO;0;80978,07;201437,47;2058799,36;4478529,18;0;0;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;DOMANDE PAGAMENTO RINNOVI;0;0;64262,22;61762,11;761861,48;3426572,4;0;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;ASSEGNATO PER COMPETENZA;0;78169,07;0;702377,81;1036057,96;0;125000;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;ASSEGNATO PER ANNO SOLARE;0;0;78169,07;702377,81;1036057,96;0;125000;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;DOMANDE REVOCATE;0;0;0;61937,06;0;0;0;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;IN ISTRUTTORIA;0;0;0;0;466455,33;3235706,87;125000;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;RIDUZIONI DA CONTROLLI SIGC;0;13192,64;4013,61;91882,55;65511,52;2307,22;0;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;LIQUIDATO PER COMPETENZA;0;64976,43;60248,61;677342,37;1210448,91;190558,31;2651550,14;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;LIQUIDATO PER ANNO SOLARE;0;0;60515,93;53554,48;606693,95;1021197,93;3113162,48;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;AUTORIZZATO PER COMPETENZA;0;64976,43;60248,61;663621,07;1205998,98;190558,31;2661280,58;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;AUTORIZZATO PER ANNO SOLARE;0;0;60515,93;53554,48;592972,65;1021197,93;3118442,99;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;PAGATO PER COMPETENZA;0;64976,46;80489,7;645559,42;1197248,99;190306,34;2643401,15;0
Provincia di GROSSETO;(PSR214) Indennit… per gli interventi agroambientali;PAGATO PER ANNO SOLARE;0;0;60515,96;53554,48;608240,65;1011743,96;3087927,01;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;PROGRAMMATO;0;1148412;1148412;1257087;1257087;1257087;0;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;DOMANDE PAGAMENTO RINNOVI;0;1045917,18;1057719,41;1054096,91;1037324,73;0;0;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;IN ISTRUTTORIA;0;4564,35;13258,35;9635,85;4564,35;0;0;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;LIQUIDATO PER COMPETENZA;0;1051619,12;1037020,44;928345,44;925346,01;894590,98;522632,63;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;LIQUIDATO PER ANNO SOLARE;0;114347,84;937271,28;1940443,08;941567,56;811287,97;614636,89;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;AUTORIZZATO PER COMPETENZA;0;1037368,2;1037020,44;928345,44;925346,01;805702,07;611521,54;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;AUTORIZZATO PER ANNO SOLARE;0;92612,84;944755,36;1936711,9;941567,56;815019,15;614636,89;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;PAGATO PER COMPETENZA;69943,25;1041352,98;1043344,5;1026817,84;0;0;0;0
Provincia di GROSSETO;(PSR2078) Reg.(CE)2078/92 Agroambiente;PAGATO PER ANNO SOLARE;0;92612,85;1018683,38;1933640,03;135003,34;3731,18;-2212,21;0
Provincia di GROSSETO;(PSR215) Pagamenti per il benessere degli animali;PROGRAMMATO;0;0;0;0;0;5000;0;0
Provincia di GROSSETO;(PSR215) Pagamenti per il benessere degli animali;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;16259,84;0
Provincia di GROSSETO;(PSR215) Pagamenti per il benessere degli animali;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;16259,84;0
Provincia di GROSSETO;(PSR216) Sostegno agli interventi non produttivi - connessi mis. 214 e natura 2000;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR216) Sostegno agli interventi non produttivi - connessi mis. 214 e natura 2000;RICHIESTO;0;0;0;0;99000;158658;0;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;PROGRAMMATO;0;0;0;150000;100000;0;0;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;RICHIESTO;0;0;0;291429,6;73896,26;47852;0;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;ASSEGNATO PER COMPETENZA;0;0;0;88902,78;67360,42;0;0;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;0;42177,78;114085,42;0;0;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;RIDUZIONI DA CONTROLLI SIGC;0;0;0;10622,79;11961;0;0;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;LIQUIDATO PER COMPETENZA;0;0;0;73029,99;24264;0;26250;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;56667,49;66876,5;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;AUTORIZZATO PER COMPETENZA;0;0;0;73029,99;24264;0;26250;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;40917,49;82626,5;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;PAGATO PER COMPETENZA;0;0;0;73030;24264;0;26250;0
Provincia di GROSSETO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;PAGATO PER ANNO SOLARE;0;0;0;0;0;24065;99479;0
Provincia di GROSSETO;(PSR2212) Primo imboschimento di terreni agricoli - parte pubblica;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PROGRAMMATO;0;933490;892660;814157;705685;651341;0;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;DOMANDE PAGAMENTO RINNOVI;0;605718,23;580752,94;524346,23;310493,98;0;0;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;IN ISTRUTTORIA;0;61588,72;5825;8294,93;302765,37;0;0;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;RIDUZIONI DA CONTROLLI SIGC;0;0;6513,7;6623,5;6927,91;0;0;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;LIQUIDATO PER COMPETENZA;0;554867,51;581575,24;516355,71;264354,29;0;70413,17;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;LIQUIDATO PER ANNO SOLARE;0;0;499587,89;266435,19;704734,33;370170,95;146637,56;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;AUTORIZZATO PER COMPETENZA;0;554867,51;568414,24;516355,71;163230,66;0;144970,69;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;AUTORIZZATO PER ANNO SOLARE;0;0;496758,89;256103,19;704734,33;336614,84;153627,56;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PAGATO PER COMPETENZA;873295,71;554867,48;555253,18;516355,6;163230,66;0;144970,67;0
Provincia di GROSSETO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PAGATO PER ANNO SOLARE;0;873295,71;481093,87;271768,14;691573,24;297465,56;192776,78;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;PROGRAMMATO;0;592178;528598;528628;537324;537349;0;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;DOMANDE PAGAMENTO RINNOVI;0;311349,38;267309,01;279448,77;279448,77;0;0;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;IN ISTRUTTORIA;0;4579,32;12383,86;6056,52;279448,77;0;0;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;RIDUZIONI DA CONTROLLI SIGC;0;1139,64;1370,03;3531,4;0;0;0;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;LIQUIDATO PER COMPETENZA;0;319729,04;269153,02;269860,85;168718,95;0;61918,71;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;LIQUIDATO PER ANNO SOLARE;0;0;257955,19;251181,17;236357,03;245215,55;98671,63;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;AUTORIZZATO PER COMPETENZA;0;309878,5;269153,02;269860,85;140509,17;0;88589,74;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;AUTORIZZATO PER ANNO SOLARE;0;0;248104,65;251181,17;236357,03;243676,8;98671,63;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;PAGATO PER COMPETENZA;395223,17;294280,55;253210,35;269860,76;140509,14;0;79480,35;0
Provincia di GROSSETO;(PSR2080) Reg.(CE)2080/92 Forestazione;PAGATO PER ANNO SOLARE;0;326486,32;255181,6;289921,55;225669,96;243676,7;91628,19;0
Provincia di GROSSETO;(PSR2231) Primo imboschimento di terreni non agricoli - parte privata;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR2232) Primo imboschimento di terreni non agricoli - parte pubblica;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR225) Pagamenti per interventi silvoambientali;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR823) PSR - Misura 8.2.3 (i) - Altre misure forestali;PAGATO PER COMPETENZA;39670,25;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR823) PSR - Misura 8.2.3 (i) - Altre misure forestali;PAGATO PER ANNO SOLARE;0;39670,25;0;0;0;0;0;0
Provincia di GROSSETO;(PSR824) PSR - Misura 8.2.4 - Pagamenti silvoambientali;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di GROSSETO;(PSR2261) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - parte privata;PROGRAMMATO;0;11417;534375;468519;330000;0;0;0
Provincia di GROSSETO;(PSR2261) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - parte privata;RICHIESTO;0;0;846785,079;1575269,5;1254507,46;1470989,33;787555,75;0
Provincia di GROSSETO;(PSR2261) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - parte privata;ASSEGNATO PER COMPETENZA;0;0;442657,57;436284,45;333267,27;0;111080,29;0
Provincia di GROSSETO;(PSR2261) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;0;593049,43;483799,58;135360,28;111080,29;0
Provincia di GROSSETO;(PSR2261) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - parte privata;DOMANDE PAGAMENTO ANTICIPO;0;0;25029,06;171587,79;79380,97;0;0;0
